ticket_id,customer_ref,created_date,category,csat_score
TIX00101,CUST00263,2026-07-03,billing,4
TIX00102,CUST00263,2026-03-17,shipping,4
TIX00103,CUST00263,2026-07-24,general_inquiry,2
TIX00104,jenniferandrade@example.net,2026-04-15,general_inquiry,1
TIX00105,jenniferandrade@example.net,2025-07-27,billing,5
TIX00106,CUST00220,2026-07-12,billing,5
TIX00107,CUST00080,2025-09-08,billing,1
TIX00108,grimesdavid@example.net,2026-05-25,billing,5
TIX00109,CUST00188,2026-01-22,shipping,3
TIX00110,CUST00188,2025-12-23,billing,4
TIX00111,CUST00239,2025-09-22,general_inquiry,2
TIX00112,jlopez@example.org,2026-07-18,general_inquiry,5
TIX00113,jlopez@example.org,2025-08-22,billing,5
TIX00114,CUST00141,2025-08-05,billing,3
TIX00115,CUST00141,2026-04-27,shipping,2
TIX00116,CUST00141,2026-06-25,billing,1
TIX00117,clarkbrian@example.com,2025-10-14,general_inquiry,2
TIX00118,robert67@example.com,2025-08-01,general_inquiry,5
TIX00119,CUST00288,2025-10-16,shipping,1
TIX00120,CUST00288,2025-10-20,billing,5
TIX00121,CUST00051,2026-05-04,general_inquiry,5
TIX00122,CUST00051,2025-09-15,shipping,5
TIX00123,CUST00051,2026-03-23,general_inquiry,4
TIX00124,CUST00270,2026-01-25,shipping,4
TIX00125,derrick56@example.org,2025-12-23,general_inquiry,2
TIX00126,samanthaluna@example.org,2025-08-14,general_inquiry,3
TIX00127,yelliott@example.com,2025-10-19,shipping,5
TIX00128,yangchristina@example.net,2025-09-12,shipping,4
TIX00129,CUST00074,2025-09-14,product_defect,4
TIX00130,CUST00074,2026-07-15,billing,4
TIX00131,CUST00261,2025-08-24,product_defect,5
TIX00132,CUST00261,2026-07-16,product_defect,5
TIX00133,danielphillip@example.com,2025-12-18,general_inquiry,2
TIX00134,CUST00272,2026-04-13,general_inquiry,2
TIX00135,CUST00272,2025-12-24,general_inquiry,3
TIX00136,CUST00235,2025-11-23,general_inquiry,2
TIX00137,CUST00235,2026-07-07,shipping,2
TIX00138,CUST00172,2026-01-16,billing,1
TIX00139,erin63@example.org,2026-05-20,general_inquiry,3
TIX00140,CUST00033,2026-06-12,shipping,2
TIX00141,CUST00033,2026-01-02,shipping,1
TIX00142,CUST00033,2025-09-30,general_inquiry,5
TIX00143,hullbrittany@example.net,2025-09-26,product_defect,2
TIX00144,CUST00181,2026-02-07,shipping,4
TIX00145,CUST00166,2026-05-06,product_defect,5
TIX00146,utownsend@example.org,2026-04-27,billing,4
TIX00147,lance47@example.com,2025-10-16,product_defect,2
TIX00148,lance47@example.com,2025-09-03,billing,5
TIX00149,CUST00128,2026-04-09,product_defect,2
TIX00150,melissa34@example.net,2025-08-31,billing,1
TIX00151,CUST00138,2026-02-17,general_inquiry,3
TIX00152,CUST00138,2026-01-01,general_inquiry,5
TIX00153,CUST00177,2026-05-17,shipping,1
TIX00154,amy36@example.com,2026-04-18,product_defect,3
TIX00155,CUST00163,2026-04-05,product_defect,2
TIX00156,CUST00163,2025-08-21,billing,4
TIX00157,CUST00082,2025-08-08,product_defect,2
TIX00158,CUST00082,2026-01-12,shipping,5
TIX00159,CUST00233,2026-05-06,product_defect,1
TIX00160,CUST00029,2026-06-28,product_defect,4
TIX00161,CUST00029,2026-02-11,general_inquiry,2
TIX00162,CUST00029,2025-08-25,general_inquiry,4
TIX00163,CUST00194,2025-11-27,general_inquiry,1
TIX00164,haleymoran@example.com,2025-11-04,general_inquiry,2
TIX00165,CUST00194,2026-01-15,billing,3
TIX00166,CUST00273,2026-07-01,shipping,3
TIX00167,coryfrazier@example.net,2026-05-21,shipping,4
TIX00168,CUST00143,2025-11-14,product_defect,1
TIX00169,CUST00143,2025-11-07,billing,4
TIX00170,foleylaura@example.com,2025-12-02,billing,5
TIX00171,frank12@example.com,2026-06-07,billing,4
TIX00172,CUST00122,2026-04-08,billing,2
TIX00173,angelajones@example.org,2026-04-20,billing,2
TIX00174,CUST00149,2025-09-07,product_defect,2
TIX00175,brodriguez@example.net,2026-01-15,shipping,4
TIX00176,robert77@example.net,2025-11-25,shipping,4
TIX00177,CUST00170,2026-05-20,product_defect,4
TIX00178,CUST00170,2025-10-19,product_defect,4
TIX00179,CUST00225,2026-02-14,product_defect,4
TIX00180,CUST00106,2025-09-28,billing,1
TIX00181,CUST00236,2025-12-14,general_inquiry,5
TIX00182,andrea54@example.com,2025-09-18,product_defect,4
TIX00183,CUST00236,2026-05-24,billing,4
TIX00184,CUST00191,2025-11-29,general_inquiry,3
TIX00185,kennethcannon@example.net,2025-12-13,billing,4
TIX00186,CUST00136,2025-12-27,product_defect,3
TIX00187,CUST00136,2026-04-06,product_defect,2
TIX00188,santiagomonica@example.com,2025-11-12,product_defect,4
TIX00189,CUST00073,2026-01-22,product_defect,3
TIX00190,santiagomonica@example.com,2025-10-17,general_inquiry,2
TIX00191,CUST00108,2025-11-07,product_defect,3
TIX00192,CUST00108,2026-05-11,product_defect,4
